Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Rule of Law: Number of Sources,RL.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,4,,5,5,7,8,10,11,12,12,12,12,13,14,13,12,12,11,11,11,11,12,12
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.74089069,12.54901961,14.3812709,14.88095238,15.3638814,15.56122449,10.86419753,12.04819277,12.07564365,13.58234295,12.21995927,12.79707495,16.07717042,14.26872771,13.65853659,14.46654611,17.91277259,11.89767995,17.25625539,22.10397053,21.00565308,19.29133858,,,,,,,,,,,,,,,,,,,,,,,,,,51.80425823,51.99711559,43.9077692,41.13816137,46.93954268,40.98157129,37.20199772,37.06878115,41.61025394,44.32691421,46.02726305,48.80944981,44.9168728,41.84473956,45.54803187,
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,2900000,3200000,4300000,5000000,5700000,6100000,4400000,5100000,5300000,6400000,6000000,7000000,10000000,12000000,14000000,16000000,23000000,20000000,40000000,54000000,70600000,73500000,,,,,,,,,,,,,,,,,,,,,,,,,,6139054400,7589550000,6476956000,6729294500,8790060000,8338475600,8497214700,9820268100,12527990000,13786730000,14146280000,16511840000,15809300000,14585422800,15976407300,
Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,4200031.655,4547453.819,5349342.859,6125341.662,6673466.564,7234376.048,7906844.358,8203631.185,8411428.087,8710457.376,8991289.877,10414207.01,12756939.84,17291521.39,22443034.84,28071944.39,37901507.21,45122942.97,53750250.08,65828023.88,84907770.67,100660691.9,109848519.5,123587736,143764958.3,168718083.8,192666135.3,220538069.5,286977852.7,344180758.1,384083996.9,507407416.3,585674655.4,636213825.5,704715350.4,824280538.6,929842762.9,1035742711,1282966323,1418133318,1428117987,1473768311,1684746309,1785100212,1848441329,1960306630,2123826155,2536899574,2703675362,2785993339,2943317888,2989043264,3281679614,3222754172,3315778273,3396513423,3404222388,3314374113,3250388227,3408203094,3402568849,,
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,124.6963563,129.0196078,126.4214047,127.3809524,124.5283019,126.2755102,135.5555556,133.0734704,130.758715,126.3157895,126.4765784,132.9067642,141.8006431,139.2390012,150.7317073,171.4285714,186.4485981,176.7400357,148.3175151,168.7679083,152.0378756,160.1174278,,,,,,,,,,,,,,,,,,,,,,,,,,133.6352862,127.314106,138.8345733,134.5500677,129.0186699,130.8961105,124.1994023,115.8962656,113.4992919,116.7884677,129.1831783,118.524416,120.1488452,125.4662385,,
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,30800000,32900000,37800000,42800000,46200000,49500000,54900000,56330000,57390000,59520000,62100000,72700000,88200000,117100000,154500000,189600000,239400000,297100000,343800000,412300000,510999300,610047400,,,,,,,,,,,,,,,,,,,,,,,,,,15836425800,18582891800,20479870400,22009419000,24160479300,26633288800,28368073000,30703259300,34172297900,36324005400,39703890500,40095846200,42288543700,43732573200,,
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476881540,3698221420,3716984849,4013610390,4333364089,4616607505,4462961371,4527954956,4945481229,4870136787,5245672074,5074490842,5273531828,5403036417,,
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,,2.996361697,16.72725832,15.5762436,9.164403065,5.185213092,16.90149493,-0.542156458,3.351498837,4.356305231,8.760748279,14.80204991,20.23986667,36.03487544,31.53075577,20.97559074,26.95853142,24.81852191,13.70410232,19.02172979,17.58447982,21.16443135,17.45625478,19.0867394,14.81202414,10.04610128,14.47342843,4.269594618,23.84793688,17.42601773,6.60805346,21.97832838,8.536692901,9.904913075,5.46363017,9.447270465,12.09029549,23.8583126,40.99409788,7.189198041,7.672173806,1.5496818,17.02573211,6.520072393,6.325011364,7.723115778,9.450663789,-8.702660878,12.15563279,8.250727446,9.384273244,4.803550371,1.793598004,-1.070989397,0.38295706,7.867280385,-1.617117472,6.529410378,-4.261797047,2.640004718,4.77448822,,
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,37379985.06,38499984.62,44939982.04,51939979.24,56699977.34,59639976.17,69719972.14,69341972.29,71665971.36,74787970.11,81339967.5,93258420.6,104328563.9,157213876.6,211191842,234750749.7,253459999.8,316364999.7,359719999.7,442149651.5,562080170.7,604464843.3,,,,,,,,,,,,,,,,,,,,,,,,,,1625299016,1571967574,1659900550,2114884532,2343225706,2264362640,1979992590,1881037979,1806542414,1631581847,2064593897,2056110230,2022023456,1885866459,,
General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,655581.3682,863450.224,911412.4254,911412.4254,911412.4254,1103293.881,815477.1394,1087306.48,991371.1942,975372.9105,639593.9678,959385.5101,1279187.936,1279187.936,1758875.249,2558364.988,3038063.184,3517750.498,4956834.205,6395917.911,11709687.97,12732587.76,7532786.421,8204355.19,9190926.899,15090353.86,17780633.94,37252188.52,51758920.64,54197363.8,57743094.97,80234722.83,101653040,118696142.2,141721427.1,163995195.3,175767679.3,210429528,278382096.4,283978524.5,303326163.2,332427563.5,407419637.9,435721548.6,454109801.7,510610951,547752609.9,1033746882,939480739.4,862094962.6,812984476.2,822132893.4,874827811.6,876005883.8,892906971.3,871761756.8,898895596.8,858793918.1,847901644.5,838273964.4,812772395.5,,
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.944315545,11.33843212,10.91186736,9.333333333,7.828425821,7.010658915,6.98630137,7.915873016,6.972254005,6.20600657,5.64335536,7.103377687,8.769644334,6.833220224,6.123403623,5.882352941,5.5715856,5.134486071,4.558964067,4.65191447,2.648575782,3.89346646,5.366441909,3.661047066,3.567289643,3.303418498,3.758623194,3.56627357,3.629545725,4.478184151,3.832370106,3.414865577,3.42880634,2.811216105,2.59622975
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260152788,0.255618495,0.251239238,0.247111575,0.243170851,0.239465609,0.235990985,0.232841882,0.230040004,0.227774867,0.227171017,0.227158116,0.227626065,0.228532774,0.229970173,0.231591917,0.232491636,0.232411666,0.231902879,0.231470497,0.231096321,0.230536123,0.229798949,0.228973375,0.226404415,0.223804019,0.220835864,0.217761262,0.214605169,0.211506593,0.210308259,,
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,2.73,,2.600309,,2.353684,,2.7,,,,
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2.12,,2.350309,,1.961644,,1.96,,,,
Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00284594,0.005584433,0.010956533,0.05380446,0.21180607,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,7,10,15,22,25,32.45385695,39,40.8,42.30173357,42.85616632,47.98299869,
Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,45,,110,140,400,400,1339,1636,2275,1502,2062,2230,4821,5763,4618,5060,7998,9088
Mobile cellular subscriptions,IT.CEL.SETS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,3500,9831,12000,21600,57000,137953,125950,196213,249786,357913,482455,593216,661000,987448,1232354,1544815,1790295,2138789,2140141,2282917,2380804,1582141,1681633,1562648,1821374,1556844
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,900,900,1000,1000,3300,4900,3100,3100,4600,3000,3100,4700,4800,3900,2200,4600,4600,4600,1900,1100,2400,1800,1400,700,2100,200,,,,,,,,,,,,,,,,,,,,,,,
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63333333,63.2,63.26666667,63.26666667,,,
Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.33333,93.33333,90,83.33333,83.33333,86.66667,86.66667,86.66667,86.66667,90,86.66666667,86.6668,83.3334,86.6667,86.6667,83.3334,83.3334,,
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3,3,3
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.5,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"Trademark applications, resident, by count",IP.TMK.RSCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,29,68,,
Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.75,2.25,8.39,8.17,12.25,12.58,6.43,5.38,7.03,11.92,9.75,10.92,11.45,12.18,12.64,21.26,14.94,11.63,16.34,20.34,21.01,20.78,34.71,35.94,,
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time required to build a warehouse (days),IC.WRH.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,423,423,423,183,183,183,183,183,183,183,183,183,183,183,,,
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3.4,3.4,3.4,3.2,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,
Time to prepare and pay taxes (hours),IC.TAX.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,564,342,324,324,324.3,324,324,324,324,324,324,333,327,327,,,
"Time required to start a business, male (days)",IC.REG.DURS.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,138,103,73,73,39,39,39,39,29,29,29,29,29,29,29,15,,,
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,59.7,41.8,40,37.5,37.9,27,26,24.9,13,11.4,9.4,9.3,8.1,7.7,7.1,6.1,,,
Time required to enforce a contract (days),IC.LGL.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,875,875,875,875,875,875,875,875,615,615,615,615,615,615,615,615,,,
"Time to import, border compliance (hours)",IC.IMP.TMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,,,
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,31.2,,,,,,
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,66.8,,,,,,
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,36.2,,,,,,
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6,,,,,,,68.1,,,,,,
"Time to export, documentary compliance (hours)",IC.EXP.TMDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,1,,,
Time required to get electricity (days),IC.ELC.TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,125,114,114,114,114,114,114,114,,,
Average time to clear exports through customs (days),IC.CUS.DURS.EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,4,,,,,,
New businesses registered (number),IC.BUS.NREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,1042,1397,1501,1720,1575,1795,2032,1933,2572,2301,2443,3725,2872,1981,,
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,100.0152835,110.0022924,38.09263909,24.13838533,24.99946936,-8.889303968,19.51319517,10.20334966,1.85229733,-9.090277585,0,40,71.42747983,8.333386397,53.84647035,119.9996944,-9.090956454,45.00006686,37.93110263,55.6258865,15.06168475,5.988250091,-14.01035329,26.87414843,39.22521164,11.50748829,15.95259079,47.20566928,39.54196767,28.02754694,51.83913925,23.10053638,2.965564692,15.50477111,29.38157826,16.37672728,-8.080825225,-10.252996,26.58841124,-19.27313963,2.596194658,-1.594375307,2.77843479,-7.592165716,-9.861105374,4.497486811,40.31311571,26.3589545,7.331739618,11.47904233,-7.673551342,41.87955456,-5.61613761,10.39282357,-5.269350295,2.04533237,-24.18045397,5.566480297,19.723143,-10.97663633,,
Changes in inventories (constant LCU),NE.GDI.STKB.KN,,,,,,,,,,,,,,,,-793100,-1586200,-793100,4758600,4758600,3809100,4671600,-3424800,2759500,-878400,4598400,21047000,5641600,-16646000,-14455500,-10844600,-19526800,15375100,7232800,-36432100,55512600,40300,-33665800,-2379300,71378300,11896400,26321600,-59786000,-108620000,10583000,59427600,-67359400,201319800,237657200,354749600,322212800,-399251300,-46150600,242032600,804982500,18191800,593980800,-1100418600,-1248771100,96538200,-86476700,,
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,,,,,,,,5990900,6671700,6671700,6807800,8169400,10892500,13615700,17700400,28592900,62632100,55824300,70801500,100756000,162976600,187028000,212607600,173027300,227045400,306110500,314006000,396310000,626225800,858787200,1086329300,1654727200,1969315200,2042477700,2436047500,2975570800,3573713300,3342788200,2952266100,3609514900,2992348000,3045800400,3144346600,3312695700,2870702500,2501972200,2836752200,3468488500,4399474100,4622364300,5226226100,5521927700,7314181200,6617815400,6767797400,7155551800,6726489700,6650766100,7108077600,6918407700,6331417500,,
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,6159997.538,6859997.259,6859997.259,6999997.203,8389063.322,10406839.29,14410071.18,19132362,28397268.11,52899999.95,47149999.96,59799999.95,87883626.67,153688514.3,156538233.6,,,,,,,,,,,,,,,,,,,,,,,,,,395802389.2,465908588.2,494023350.7,655945408.3,723055152.3,890669897.7,733632207.9,717415857.4,668726132.3,563094589.3,631752563.1,684059860.8,621776499.7,500220006.2,,
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,3746400,4133900,5555000,6459300,7363600,7880300,5684200,6588500,6846800,8267900,7751100,9043000,12918500,15502200,18085900,20669700,29712600,25837100,51674100,69760100,91204900,94951200,89176600,84952300,100402900,117377800,134365700,126506700,263936700,330525400,326873700,406369100,537441900,719471100,847773800,903786000,1354647300,1481874300,1884814300,1794384600,2409306900,4230820300,5917981100,5689323000,5805589800,5494280000,6693359000,7575219700,8193797900,7586606400,7623982400,8528810500,8338475600,7799057600,7016372600,8314123000,9335744100,9522361300,10080457000,8735739300,7203010700,,
Exports of goods and services (current US$),NE.EXP.GNFS.CD,4059998.378,4479998.21,6019997.594,6999997.203,7979996.811,8539996.587,6159997.538,7139997.147,7419997.035,8959996.42,8399996.643,9787240.542,13008549.11,17292085.42,20604082.15,21636013.8,26449999.98,22999999.98,45999999.96,64131295.14,90648358.72,83760683.76,,,,,,,,,,,,,,,,,,,,,,,,,,871360731.5,918695657.3,764362173.8,919327645.6,1210768743,1015401315,880613387.6,904872364,981899668.3,937260006.9,1061730024,1247690172,1094188311,886161334.7,1081044398,
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,31300000,33900000,39900000,45700000,49800000,54000000,59000000,61230000,62790000,65020000,67100000,77700000,95200000,129100000,167500000,209600000,283400000,337100000,401800000,492300000,635500000,753300000,,,,,,,,,,,,,,,,,,,,,,,,,,18790298300,22667280800,24984800300,27129653400,28904147400,33901319400,35829401400,39736194400,43335880000,45274031200,46528689400,47743160200,51601475600,55002665900,,
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,43114600,46054300,52913400,59912500,64671900,69291400,76850400,78852200,80336000,83317600,86929200,101767300,123464600,163919600,216273000,265406900,335118200,415888100,481260000,577148000,715309800,853959900,938049600,1110385100,1272853700,1444289300,1657758900,1892356000,2392869200,2752236900,2933794100,3664392900,4104754400,4572384800,4967003800,5514033500,6110178700,7504289500,10420300900,11043223200,11869120200,12266670700,14516190200,15477870300,16376558300,17828945400,19416597500,22623337200,23352572700,23856035600,24900139300,25821460200,26633288800,26444963500,26670707000,27929205700,27856410300,28767500100,27777703200,28216891000,28962028900,,
Final consumption expenditure (current US$),NE.CON.TOTL.CD,43119982.77,46059981.59,52919978.85,59919976.06,64679974.15,69299972.31,76859969.29,78861968.49,80345967.89,83327966.7,86939965.26,101647483.9,114735403.1,168741933.5,227380763.7,256386763.5,275309999.8,341664999.7,395369999.7,489654314.6,656108326.5,695210712.3,,,,,,,,,,,,,,,,,,,,,,,,,,2247779327,2249411625,2416881983,3006833383,3327935550,3243215879,2939940410,2829101053,2678304179,2469406273,2979922113,3029777012,2926861418,2657044363,,
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,,-0.124682746,13.18891016,12.0828368,5.882856059,2.005396921,13.26465433,-3.906256272,-0.343266925,0.667899609,4.980670937,10.8595574,16.14548991,31.43633698,27.0838381,16.91604788,22.8866934,21.15844115,10.56274967,15.74352132,14.34722958,17.83050748,14.22880978,15.82369032,11.67869136,7.08988736,11.50116208,1.867073073,21.36245318,15.20932538,4.717312923,19.94401056,6.84321151,8.332767757,4.074627526,8.120998023,10.88522755,22.76067992,40.06674758,6.726738923,7.435832999,1.506867328,17.13932862,6.760794512,6.734484311,8.156748626,9.486320881,-9.010366188,11.50637148,7.488079283,8.650014504,4.035657811,0.949363076,-1.987850747,-0.637668783,6.681999513,-2.780481914,5.216820879,-5.455248582,1.363289088,3.454499792,,
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,3332824.055,3432687.518,4006882.026,4631003.732,5055407.58,5317541.235,6216285.197,6182583.206,6389792.41,6668151.271,7252331.219,8325824.905,10010960.77,13618398.01,17912381.82,21669609.73,27511418.27,34339345.64,39045244.7,46472325.65,54644242.37,66209385.54,77767064.56,92610261.51,106327715.8,117009505.8,133944792.9,139663692.6,172970601.8,203112489.6,216534271.5,264124884.7,286672415,315067068.5,332281167.9,363672668.5,407641768.8,504898216.2,711876685.2,763054909.9,821597808.8,834329960.6,976380744.5,1040041476,1105824217,1191228302,1303807284,1190341357,1335034882,1445184971,1580805078,1656739846,1686455099,1668393343,1674782574,1806542414,1777328501,1893377573,1812685664,1860540651,1949371945,,
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.59919028,21.17647059,19.06354515,16.96428571,15.3638814,17.60204082,12.59259259,16.06425703,14.12622465,12.94567063,8.146639511,10.96892139,12.86173633,9.512485137,10.73170732,14.46654611,14.79750779,13.08744795,13.37359793,16.3733115,21.78884261,20.90013123,,,,,,,,,,,,,,,,,,,,,,,,,,37.00778606,38.34255266,43.48379298,39.91301246,38.1756054,39.50649187,40.55352451,38.83812127,36.94290695,39.62419307,39.68057009,38.08969644,37.14396468,36.41519585,,
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,4100000,5400000,5700000,5700000,5700000,6900000,5100000,6800000,6200000,6100000,4000000,6000000,8000000,8000000,11000000,16000000,19000000,22000000,31000000,40000000,73232300,79629500,,,,,,,,,,,,,,,,,,,,,,,,,,4385601100,5596516600,6414414100,6528887200,7148895000,8038342800,9262728500,10289002000,11122748000,12324071300,12195651400,12885434600,13073485400,12692898400,,
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,1.551791277,1.438132064,1.505608283,1.851207532,3.158536585,3.311510353,4.357736659,4.013056836,3.979143798,4.314099075,4.839987326,4.181313074,3.369755245,4.307714659,3.550475988,2.888846955,2.706453525,2.475472663,2.74112241,3.241889376,2.824673663,2.712177347,2.851928467,3.562451192,3.284926128,2.744178023,2.516392953,2.369000919,2.131662938,2.049259616,2.074224991,2.368154586,1.547920806,2.72268167,3.162519868,2.255553775,2.14822824,2.026509347,1.953797373,1.865757963,1.963913092,2.270782496,1.999394011,1.84049777,1.824578265,1.560611244,1.466333756
"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,2.24,,2.372849,,2.025983,,2.28,,,,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,2,,2.222222,,1.912907,,2.36,,,,
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494377201,0.981509827,0.973369582,1.928697035,1.909087351,6.608383868,8.396023643,19.34933708,37.7613094,60.20572386,66.54540615,,
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.054212442,0.0477743,0.0477743,0.0477743,0.0477743,0.139499198,0.130109,0.130109,0.130109,0.130109,0.127017378,0.126345,0.126345,0.126345,0.126345,0.157624694,0.155195714,0.155975387,0.194559398,0.225360632,0.244801346,0.308808077,0.32719721,0.33979577,0.343679744,0.455125481,0.538079146,0.60596643,0.660770718,0.691984345,0.686882746,0.670945046,0.612319459,0.775453227,0.822341391,0.919921058,0.817094591,1.034179113,1.057594054,1.083117754,1.110760871,1.069381782,1.431915552,1.761187739,1.875203991,2.425579946,2.68800777,2.39893318,2.064647165,1.990872843,1.908889248,1.893283381,2.470850014,2.427506306,2.372709214,1.915016143,1.919797451,0.490044996,0.378886969,0.581793969,0.513464354,0.41898719,0.292476536
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,40,40,,,
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,40,40,60,80,80,80,80,,,
Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11111111,71.11111111,70,61.11111111,61.11111111,62.22222222,65.55555556,65.55555556,72.22222222,73.33333333,72.22222222,65.5556,57.7778,62.22223333,65.55556667,67.7778,67.7778,,
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333,3.333333333,3.333333333,3.3,3.333333333,3.166666667,3.166666667,3.333333333,3.5,3.33333,3.33333,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,3.5,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,3.833333333,3.666666667,3.666666667,3.666666667,3.33333,3.16667,3.166666667,3.333333333,3.166666667,3.166666667,3.166666667,3.166667,3.166667
